nb_cluster	nb_cluster_with_poly	nb_clustered_taxid_with_poly	nb_expected_taxid	complement_clustered_taxid_with_poly	complement_expected_taxid	expected_and_clustered_intersection	Evalue	coverage	inflation	precision	sensitivity	F1_score
66299	163	945	1217	209	295	736	1e-120	80	1_6	0.5935483870967742	0.7138700290979632	0.6481726111845002
72799	126	1043	1217	285	273	758	1e-100	60	1_8	0.5759878419452887	0.7352085354025218	0.6459309757136771
66405	163	945	1217	209	295	736	1e-120	80	1_8	0.5935483870967742	0.7138700290979632	0.6481726111845002
76333	79	2409	1217	1529	151	880	1e-05	50	1_2	0.34375	0.8535402521823472	0.49011417432470067
94604	117	1217	1217	460	274	757	1e-60	50	5	0.5077129443326627	0.7342386032977691	0.6003172085646312
72911	127	1041	1217	283	273	758	1e-100	60	2	0.5768645357686454	0.7352085354025218	0.6464818763326227
66497	166	942	1217	209	298	733	1e-120	80	2	0.5911290322580646	0.7109602327837051	0.6455306032584766
95336	80	2249	1217	1369	151	880	1e-20	50	1_2	0.36666666666666664	0.8535402521823472	0.5129699795977849
103177	90	1834	1217	980	177	854	1e-40	50	1_4	0.4246643460964694	0.8283220174587779	0.5614727153188692
73261	132	1028	1217	281	284	747	1e-100	60	3	0.569359756097561	0.7245392822502424	0.6376440460947503
66742	167	940	1217	207	298	733	1e-120	80	3	0.5920840064620355	0.7109602327837051	0.6460996033494931
95540	125	1213	1217	462	280	751	1e-60	50	8	0.5030140656396517	0.7284190106692532	0.5950871632329635
67219	178	932	1217	206	305	726	1e-120	80	5	0.5869037995149555	0.7041707080504365	0.6402116402116402
73829	139	996	1217	266	301	730	1e-100	60	5	0.5628373168851195	0.7080504364694471	0.627147766323024
79070	87	2131	1217	1272	172	859	1e-05	50	1_4	0.37299174989144596	0.8331716779825412	0.5152969406118776
67663	190	914	1217	205	322	709	1e-120	80	8	0.5736245954692557	0.6876818622696411	0.6254962505513895
74333	146	992	1217	265	304	727	1e-100	60	8	0.5609567901234568	0.7051406401551892	0.6248388483025354
103712	96	1437	1217	608	202	829	1e-40	50	1_6	0.5057962172056132	0.8040737148399612	0.6209737827715355
96732	87	2097	1217	1240	174	857	1e-20	50	1_4	0.37736679876706297	0.8312318137730359	0.5190793458509994
56636	95	1056	1217	290	265	766	1e-140	30	1_2	0.5798637395912187	0.7429679922405431	0.6513605442176871
92727	103	1359	1217	558	230	801	1e-60	60	1_2	0.5040906230333543	0.7769156159068865	0.6114503816793893
73080	136	1074	1217	325	282	749	1e-100	70	1_2	0.5523598820058997	0.7264791464597479	0.627565982404692
